145,20255,42183
 62,55577,55593
 340,42183,20255
 62,20255,12487
 62,20255,142
 62,20255,55593
 90,20255,12487
 62,55580,142
 62,55579,49677
 62,55582,16881
 167,41410,1900
 62,20255,49677
 62,20255,59006
 62,20255,16881
 167,41410,1900
 167,41410,1900
 62,55586,18533
 90,20255,59006
 54,18533,55586
 62,20255,25326
 62,20255,18533
 62,20255,43611
 90,20255,43611
 90,20255,18533
 146,546,547
 145,20255,51413
 145,20255,56342
 145,20255,50321
 66,55587,6881
 62,20255,6881
 66,55588,51413
 62,20255,51413
 66,55589,34670
 62,20255,51005
 62,20255,26085
 66,55590,26085
 62,20255,44822
 66,55591,44822
 173,20255,51413
 54,51413,55588
 90,20255,51413
 173,20255,56342
 90,20255,51005
 340,50321,20255
 146,546,547
 66,55588,51413
 54,51413,55588
 54,55576,21011
 62,20255,46434
 54,21011,55576
 66,55592,443
 62,55588,51413
 54,51413,55588
145,20255,21991
 66,55593,54683
 62,20255,54683
 66,55594,60267
 62,20255,60267
 62,20255,21991
 66,55595,21991
 62,20255,29041
 66,55596,29041
 62,20255,27552
 62,20255,6881
 66,55597,6881
 62,20255,42397
 66,55598,42397
 66,55599,43369
 66,55600,56342
 62,20255,17383
 66,55601,17383
 62,20255,46749
 5800,49142 1
 66,55602,46749
 54,43369,55599
 66,17383,55601
 54,55601,17383
 122,55601,17383
 54,56342,55600
 62,20255,46434
 54,29041,55596
 90,20255,29041
 162,17383,55601
 165,55601,17383
 591,17383,55601
 576,55601,17383
 54,55601,17383
 146,546,547
 66,55599,43369
 66,55600,56342
 54,17383,55601
 54,17383,55601
 61,17383,55601
 54,17383,55601
 54,43369,55599
 54,55601,17383
 66,55596,29041
 54,56342,55600
 66,55587,6881
 66,55590,26085
 66,55589,34670
 66,55591,44822
 54,29041,55596
 62,20255,26085
 62,20255,44822
 62,20255,51413
 62,20255,51005
 62,20255,6881
 62,55599,43369
 90,20255,51413
 54,43369,55599
 54,34670,55589
 62,55600,56342
 90,20255,51005
 46,54,56342
 62,55596,29041
 62,55589,34670
 54,29041,55596
 90,82,5353,5353
 102,5353,5353
 90,66,55592,443
 62,20255,46434
 54,34670,55589
 145,20255,64280
 145,20255,41735
 145,20255,6882
 66,55602,46749
 66,55593,54683
 66,55594,60267
 66,55597,6881
 66,55598,42397
 66,55595,21991
 66,55603,64280
 62,20255,41735
 66,55604,41735
 62,20255,30545
 66,55605,30545
 62,20255,43175
 66,55606,43175
 62,20255,44442
 66,55607,44442
 173,20255,6882
 82,5353,5353
 102,5353,5353
 46,173,20255
 54,64280,55603
 62,20255,42397
 62,20255,27552
 62,20255,17383
 62,20255,29041
 62,20255,21991
 62,20255,60267
 62,20255,6881
 62,20255,46749
 5850,18190
 62,20255,54683
 167,40573,1900
 167,40573,1900
 90,20255,29041
 66,55603,64280
 167,40573,1900
 54,64280,55603
 62,55603,64280
 146,546,547
 54,64280,55603
 145,20255,45398
 82,5353,5353
 102,5353,5353
 46,331,45398,20255
 216,60326,1900
 76,51614,53
 76,64916,53
 89,60295,53
 92,53,64916
 66,55608,80
 66,55609,80
 121,53,51614
 66,55610,5228
 105,53,60295
 66,55611,443
 66,443,55611
 54,55611,443
 571,55611,443
 54,443,55611
 66,5228,55610
 54,55610,5228
 571,55610,5228
 1484,443,55611
 1484,443,55611
 1134,443,55611
 54,55611,443
 54,5228,55610
 1484,5228,55610
 1484,5228,55610
 936,5228,55610
 54,55610,5228
 118,55610,5228
 118,55611,443
 140,55611,443
 268,55610,5228
 315,55611,443
 618,443,55611
 85,443,55611
 54,55611,443
 85,55611,443
 54,443,55611
 54,5228,55610
 567,5228,55610
 166,5228,55610
 54,55610,5228
 210,5228,55610
 66,80,55608
 54,55608,80
 66,80,55609
 54,55609,80
 54,55610,5228
 78,56091,53
 259,53,56091
 66,55612,443
 66,55613,443
 66,55614,443
 66,55615,443
 66,443,55613
 54,55613,443
 66,443,55612
 66,443,55614
 66,443,55615
 54,55612,443
 54,55614,443
 54,55615,443
 571,55613,443
 571,55612,443
 571,55615,443
 571,55614,443
 54,443,55613
 54,443,55612
 54,443,55615
 54,443,55614
 1484,443,55613
 1484,443,55613
 1112,443,55613
 54,55613,443
 1484,443,55612
 1484,443,55612
 1112,443,55612
 1484,443,55614
 54,55612,443
 1484,443,55614
 1112,443,55614
 54,55614,443
 1484,443,55615
 1484,443,55615
 1114,443,55615
 54,55615,443
 118,55613,443
 118,55612,443
 618,443,55613
 118,55614,443
 118,55615,443
 618,443,55612
 54,55612,443
 54,55612,443
 54,55614,443
 54,55615,443
 140,55613,443
 85,55613,443
 294,55613,443
 618,443,55614
 54,55614,443
 117,55613,443
 117,55613,443
 120,55613,443
 312,55613,443
 312,55613,443
 312,55613,443
 306,55613,443
 618,443,55615
 54,55615,443
 54,443,55615
 85,443,55613
 54,443,55614
 54,443,55613
 54,443,55613
 54,443,55613
 304,443,55613
 54,55613,443
 361,443,55613
 139,443,55613
 93,443,55613
 54,55613,443
 93,55613,443
 54,443,55613
 130,443,55613
 1164,443,55613
 54,55613,443
 103,443,55613
 93,443,55613
 54,55613,443
 129,443,55613
 645,443,55613
 137,443,55613
 54,55613,443
 93,55613,443
 129,443,55613
 262,443,55613
 91,443,55613
 54,55613,443
 79,59856,53
 129,53,59856
 66,55618,443
 54,443,55613
 66,443,55618
 54,55618,443
 571,55618,443
 54,443,55618
 228,443,55611
 85,443,55611
 54,55611,443
 93,443,55611
 93,55611,443
 1484,443,55618
 1484,443,55618
 946,443,55618
 54,55618,443
 118,55618,443
 140,55618,443
 741,55618,443
 327,55618,443
 618,443,55618
 85,443,55618
 54,443,55618
 54,55618,443
 85,55618,443
 54,443,55611
 54,443,55618
 66,55604,41735
 66,55606,43175
 66,55607,44442
 66,55605,30545
 161,443,55618
 85,443,55618
 54,55618,443
 93,443,55618
 93,55618,443
 54,443,55618
 1392,59857,443
 78,443,59857
 1392,443,59857
